interest_score,date
75,2021-02-07
79,2021-02-14
79,2021-02-21
81,2021-02-28
84,2021-03-07
79,2021-03-14
77,2021-03-21
77,2021-03-28
82,2021-04-04
75,2021-04-11
73,2021-04-18
77,2021-04-25
78,2021-05-02
74,2021-05-09
74,2021-05-16
71,2021-05-23
75,2021-05-30
71,2021-06-06
72,2021-06-13
74,2021-06-20
76,2021-06-27
97,2021-07-04
71,2021-07-11
69,2021-07-18
78,2021-07-25
79,2021-08-01
70,2021-08-08
68,2021-08-15
70,2021-08-22
71,2021-08-29
67,2021-09-05
72,2021-09-12
70,2021-09-19
69,2021-09-26
71,2021-10-03
70,2021-10-10
63,2021-10-17
65,2021-10-24
66,2021-10-31
64,2021-11-07
64,2021-11-14
58,2021-11-21
77,2021-11-28
62,2021-12-05
66,2021-12-12
55,2021-12-19
65,2021-12-26
72,2022-01-02
75,2022-01-09
73,2022-01-16
92,2022-01-23
76,2022-01-30
85,2022-02-06
85,2022-02-13
85,2022-02-20
75,2022-02-27
79,2022-03-06
79,2022-03-13
82,2022-03-20
79,2022-03-27
76,2022-04-03
68,2022-04-10
77,2022-04-17
74,2022-04-24
73,2022-05-01
64,2022-05-08
63,2022-05-15
65,2022-05-22
65,2022-05-29
68,2022-06-05
63,2022-06-12
66,2022-06-19
65,2022-06-26
66,2022-07-03
74,2022-07-10
70,2022-07-17
73,2022-07-24
70,2022-07-31
63,2022-08-07
65,2022-08-14
67,2022-08-21
66,2022-08-28
63,2022-09-04
65,2022-09-11
65,2022-09-18
62,2022-09-25
63,2022-10-02
64,2022-10-09
61,2022-10-16
73,2022-10-23
68,2022-10-30
58,2022-11-06
59,2022-11-13
51,2022-11-20
59,2022-11-27
56,2022-12-04
56,2022-12-11
57,2022-12-18
61,2022-12-25
71,2023-01-01
70,2023-01-08
74,2023-01-15
72,2023-01-22
71,2023-01-29
71,2023-02-05
74,2023-02-12
80,2023-02-19
75,2023-02-26
71,2023-03-05
73,2023-03-12
79,2023-03-19
73,2023-03-26
67,2023-04-02
74,2023-04-09
73,2023-04-16
72,2023-04-23
74,2023-04-30
64,2023-05-07
69,2023-05-14
69,2023-05-21
66,2023-05-28
73,2023-06-04
71,2023-06-11
64,2023-06-18
71,2023-06-25
71,2023-07-02
78,2023-07-09
73,2023-07-16
78,2023-07-23
73,2023-07-30
68,2023-08-06
69,2023-08-13
65,2023-08-20
69,2023-08-27
64,2023-09-03
70,2023-09-10
70,2023-09-17
66,2023-09-24
65,2023-10-01
60,2023-10-08
66,2023-10-15
64,2023-10-22
66,2023-10-29
62,2023-11-05
68,2023-11-12
52,2023-11-19
67,2023-11-26
63,2023-12-03
62,2023-12-10
61,2023-12-17
63,2023-12-24
69,2023-12-31
72,2024-01-07
64,2024-01-14
67,2024-01-21
69,2024-01-28
67,2024-02-04
64,2024-02-11
72,2024-02-18
71,2024-02-25
71,2024-03-03
70,2024-03-10
70,2024-03-17
65,2024-03-24
65,2024-03-31
66,2024-04-07
67,2024-04-14
68,2024-04-21
68,2024-04-28
68,2024-05-05
69,2024-05-12
100,2024-05-19
67,2024-05-26
72,2024-06-02
61,2024-06-09
65,2024-06-16
68,2024-06-23
66,2024-06-30
70,2024-07-07
66,2024-07-14
66,2024-07-21
69,2024-07-28
64,2024-08-04
66,2024-08-11
66,2024-08-18
70,2024-08-25
66,2024-09-01
61,2024-09-08
65,2024-09-15
63,2024-09-22
65,2024-09-29
59,2024-10-06
58,2024-10-13
62,2024-10-20
67,2024-10-27
58,2024-11-03
60,2024-11-10
63,2024-11-17
53,2024-11-24
63,2024-12-01
67,2024-12-08
56,2024-12-15
49,2024-12-22
68,2024-12-29
70,2025-01-05
76,2025-01-12
64,2025-01-19
73,2025-01-26
66,2025-02-02
66,2025-02-09
73,2025-02-16
71,2025-02-23
71,2025-03-02
71,2025-03-09
70,2025-03-16
72,2025-03-23
76,2025-03-30
73,2025-04-06
68,2025-04-13
68,2025-04-20
75,2025-04-27
76,2025-05-04
69,2025-05-11
68,2025-05-18
71,2025-05-25
76,2025-06-01
71,2025-06-08
75,2025-06-15
69,2025-06-22
75,2025-06-29
80,2025-07-06
86,2025-07-13
87,2025-07-20
84,2025-07-27
85,2025-08-03
77,2025-08-10
81,2025-08-17
78,2025-08-24
74,2025-08-31
70,2025-09-07
69,2025-09-14
71,2025-09-21
80,2025-09-28
80,2025-10-05
82,2025-10-12
77,2025-10-19
73,2025-10-26
81,2025-11-02
79,2025-11-09
86,2025-11-16
80,2025-11-23
84,2025-11-30
79,2025-12-07
80,2025-12-14
72,2025-12-21
86,2025-12-28
88,2026-01-04
88,2026-01-11
92,2026-01-18
74,2026-01-25
88,2026-02-01
